436,RPAホールディングス株式会社,東証1部,6572,0.49964744,https://rpa-holdings.com/,
439,株式会社市進,JASDAQ,4645,0.81030213,http://www.ichishin.co.jp/,
441,日清食品株式会社,東証1部,2897,,http://www.nissinfoods.co.jp/,
455,株式会社東芝,東証1部,6502,0.92315581,http://www.toshiba.co.jp/,
460,日本たばこ産業株式会社,東証1部,2914,,http://www.jti.co.jp/JTI/Welcome.html,
467,積水化学工業株式会社,東証1部,4204,1.00883546,http://www.sekisui.co.jp/company/outline/index.html,
484,株式会社アイケイ,JASDAQ,2722,,http://www.ai-kei.co.jp/,
486,ギークス株式会社,東証1部,7060,0.74090972,http://www.geechs.com,
493,ダイキン工業株式会社,東証1部,6367,1.36273063,http://www.daikin.co.jp/index.html,
501,株式会社ロック・フィールド,東証1部,2910,,http://www.rockfield.co.jp/,
505,ミニストップ株式会社,東証1部,9946,0.81034236,http://www.ministop.co.jp,
520,株式会社コナカ,東証1部,7494,0.78415614,http://www.konaka.co.jp/index.html,
527,株式会社ジェイアイエヌ,JASDAQスタンダード,,,http://www.jin-co.com/,
537,株式会社MonotaRO,東証1部,3064,,http://www.monotaro.com/,
538,シナジーマーケティング株式会社,JASDAQ,,,http://www.synergy-marketing.co.jp/,
540,セーレン株式会社,東証1部,3569,,http://www.mashmania.jp/,
545,株式会社　レーサム,JASDAQ,8890,0.88345045,http://www.raysum.co.jp/,
559,株式会社ファミリーマート,東証1部,,,http://www.family.co.jp,
584,京セラ株式会社,東証1部,6971,1.04934597,http://www.kyocera.co.jp/index.html,
586,カシオ計算機株式会社,東証1部,6952,1.11276224,http://casio.jp/,
587,株式会社　栄光,東証2部,,,http://www.eikoh.co.jp/,
607,スターツ出版株式会社,JASDAQ,7849,0.95796440,http://starts-pub.jp/,
612,株式会社 ナガセ,JASDAQスタンダード,9733,1.17010037,http://www.toshin.com/,
624,株式会社マクロミル,東証1部,3978,,https://www.macromill.com,
631,ガンホー・オンライン・エンターテイメント株式会社,JASDAQスタンダード,3765,,http://www.gungho.co.jp/,
642,カンロ株式会社,東証2部,2216,,http://www.kanro.co.jp/,
667,株式会社カプコン,東証1部,9697,1.84683814,http://www.capcom.co.jp/,
669,株式会社ラックランド,東証1部,9612,0.90850758,https://www.luckland.co.jp/,
674,株式会社アスカネット,マザーズ,2438,,http://www.asukanet.co.jp,
685,株式会社レオパレス21,東証1部,8848,0.67421719,http://www.leopalace21.co.jp/corporate/gaiyo.html,
